company_name,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,founded_year,ipo_year,matched_to,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,currency,total_articles,num_employees,use_cases,status,industry
MONTAGE TECHNOLOGY GROUP,1488.0,1867.0,1310.0,230.0,193.0,159.0,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,,FALSE,Technology&Electronics
360 SECURITY TECHNOLOGY,1416.0,1581.0,698.0,217.0,170.0,85.0,2005.0,,360 Security Technology Inc.,28.681701,36.757512,34.959636,31.677793,28.700288,36.825916,35.006521,31.733458,5.069869,7.504261,7.079848,6.93797,12.841095,11.614731,10.885832,9.520834,-4.119882,-3.131705,-0.318445,3.746072,0.88,0.43,0.13,-0.31,33.75157,44.261773,42.039484,38.615763,5.980435,2.912505,0.902239,-2.203547,CNY,2.0,6481.0,['Cybersecurity'],TRUE,IT&Software
CSPC PHARMACEUTICAL GROUP,1485.0,1352.0,1029.0,229.0,225.0,129.0,1992.0,,CSPC Pharmaceutical Group Limited,19.518165,23.101073,26.828231,31.641875,18.461723,22.332288,25.986672,30.226484,6.800157,6.969133,7.913345,10.127899,22.103192,24.942204,27.86687,30.936904,-2.457193,-2.129513,-0.637326,-6.795984,0.3107,0.4316,0.4689,0.5111,26.318322,30.070206,34.741576,41.769774,3.714106,5.159655,5.605185,6.09139,CNY,,24837.0,,FALSE,Healthcare
HANSOH PHARMACEUTICAL GROUP COMPANY,1474.0,1256.0,856.0,228.0,93.0,105.0,1995.0,,Hansoh Pharmaceutical Group Company Limited,13.044322,17.875598,20.028845,22.646944,13.044322,17.875598,23.771841,26.929686,6.530882,2.916462,7.131326,7.354935,8.682746,8.690234,9.935141,9.38241,-7.075599,-2.874127,-2.259157,-5.935073,0.47,0.44,0.46,0.44,19.575204,20.79206,27.160171,30.001879,2.556742,2.568907,2.712902,2.583747,CNY,,10523.0,,FALSE,Healthcare
CHINA EASTERN AIRLINES CORPORATION,1472.0,1929.0,1195.0,227.0,260.0,146.0,1988.0,1997.0,China Eastern Airlines Corporation Limited,72.646,59.154,57.152,,95.612,86.994,104.407,,212.539,225.496,231.638,,120.796,58.47,66.887,,-4.899,-6.283,2.155,,0.21,-0.72,-0.73,,285.185,284.65,288.79,,3.192,-11.836,-12.214,,CNY,,80193.0,,FALSE,Logistics&Transportation
XINYI SOLAR HOLDINGS,1465.0,1050.0,2349.0,225.0,113.0,319.0,2008.0,,Xinyi Solar Holdings Limited,18.573129,32.024518,35.897421,,18.056373,29.224915,34.662424,,9.823891,11.398871,13.172932,,9.096101,12.315829,16.064655,,-2.262423,-3.194809,-4.75785,,0.3028,0.554,0.5565,,28.39702,43.423389,49.070353,,2.416462,4.560853,4.924347,,HKD,,8459.0,,FALSE,Resources&Materials
HUAYU AUTOMOTIVE SYSTEMS COMPANY,1457.0,1787.0,1327.0,223.0,201.0,162.0,1992.0,,HUAYU Automotive Systems Company Limited,58.70153441454,58.18813973822,53.67453228722,57.054718700129996,53.23863565079,55.26472685274,53.10177467877,55.4045931024,80.42589771482001,92.24781985597001,100.17223130677,105.74222073437,144.02362607075,133.57763972175,139.94413963043,158.26790680255,-1.6380365198800002,0.40561709882999997,0.97547724247,-2.31013003226,2.05,1.714,2.052,2.285,139.12743212936,150.43595959419,153.84676359398998,162.7969394345,6.46316329895,5.40327686951,6.46893992038,7.2031251990500005,CNY,,,,FALSE,Transport&Aerospace
LENOVO GROUP,1450.0,1558.0,1760.0,222.0,239.0,226.0,1984.0,,Lenovo Group Limited,,4.059295,3.610533,5.394701,,5.438005,6.234794,7.623987,,28.068872,34.380098,39.115743,,50.716349,60.742312,71.618216,,-0.956953,-0.975899,-1.498393,,0.0558,0.0954,0.1745,,32.128167,37.990631,44.510444,,0.718851,1.210839,2.029818,USD,3.0,82000.0,,FALSE,Technology&Electronics
ORIENT SECURITIES COMPANY,1468.0,1379.0,1492.0,226.0,238.0,182.0,1998.0,,Orient Securities Company Limited,54.011636732839996,60.23114402918,64.14310564253,77.39828859272001,144.41272695456,148.97365620824,147.7774531106,151.85075622279,208.95980483729002,230.88629755525,262.45651630704003,290.66866991477,18.46121445149,21.922025424759997,22.925713948810003,18.059479965509997,-4.72510124487,3.46243420319,18.49248262741,-16.02097025738,0.3436889999999999,0.373148,0.72,,262.97144157013,291.11744158442997,326.59962194957,368.06695850748997,2.4350797640999997,2.72298851872,5.37149626161,3.01055821874,CNY,,8391.0,,FALSE,Finance&Investments
HUA XIA BANK,1463.0,1569.0,955.0,224.0,187.0,121.0,1992.0,,"Hua Xia Bank Co., Limited",269.337,282.655,300.702,323.322,775.236,901.444,959.456,1017.696,2751.452,3117.161,3375.585,3576.845,84.719,95.306,95.878,93.811,-61.644,-61.704,-103.721,-86.33,1.37,1.2,1.35,1.43,3020.789,3399.816,3676.287,3900.167,21.905,21.275,23.535,25.035,CNY,0.0,39748.0,,FALSE,Finance&Investments
HAIDILAO INTERNATIONAL HOLDING,1616.0,900.0,700.0,240.0,65.0,86.0,1994.0,,Haidilao International Holding Ltd.,10.626033,10.237258,7.928625,7.456092,10.707759,10.564267,11.9715,9.721577,9.987899,17.289886,20.092862,13.983063,26.555792,28.614255,41.111624,31.038634,-5.026276,-4.69102,-4.952514,-0.756888,0.44,0.06,-0.78,0.25,20.613932,27.527144,28.021487,21.439155,2.344711,0.309271,-4.163175,1.374477,CNY,,73987.0,,FALSE,Food&Restaurants
SHANGHAI BAOSIGHT SOFTWARE,1584.0,1567.0,2901.0,236.0,259.0,418.0,1978.0,,"Shanghai Baosight Software Co.,Ltd.",7.26909070015,7.5125352341800005,9.60357917169,10.660003139559999,7.064847877689999,7.282573322,9.01745998375,9.94256736682,2.99858684262,6.55791332539,8.25658998242,8.92102847578,6.84904337668,9.51776298389,11.75936147451,13.149886848209999,-0.9703475927799999,-0.61651756061,-0.82599144937,-0.29069224204000005,0.4603549999999999,0.6984619999999999,0.935,1.12,10.26767754277,14.07044855957,17.86016915411,19.58103161534,0.87934216777,1.30062155041,1.81883520072,2.18588652527,CNY,,5711.0,,FALSE,IT&Software
CHAOZHOU THREE-CIRCLE (GROUP),1554.0,1945.0,2466.0,235.0,255.0,338.0,1970.0,,"Chaozhou Three-Circle (Group) Co.,Ltd.",7.509920113020001,10.813584797790002,16.19157349108,17.103411874309998,7.509920113020001,10.813404793379998,16.19029660357,17.09967362701,1.0617595703,1.5334997505,2.42847570732,2.48996474418,2.72645171914,3.9939746412800003,6.218042006779999,5.14938693628,-0.85599830038,-1.05072013336,-1.87676418059,-3.80672688717,0.5,0.8200000000000001,1.1,0.79,8.57167968332,12.34708454829,18.6200491984,19.59337661849,0.87126077833,1.43956259282,2.01081142149,1.5047059509,CNY,,11773.0,,FALSE,Technology&Electronics
ZHUZHOU CRRC TIMES ELECTRIC,1615.0,2621.0,2899.0,239.0,506.0,416.0,2005.0,,"Zhuzhou CRRC Times Electric Co., Ltd.",22.196279157,24.259590404,33.292644438,35.295731182,22.140799187,23.935156161,32.698681765,34.603388003,10.789336199,9.606130854,10.858100789,13.213823602,16.304206791,16.033898624,15.121167406,18.033778561,-1.475461834,-0.629724791,-6.013742315,-2.262987012,2.26,2.11,1.63,,32.985615356,33.865721258,44.150745227,48.509554784,2.659163867,2.475454606,2.017694796,2.555823375,CNY,,7994.0,,FALSE,Transport&Aerospace
SHANDONG GOLD MINING,1601.0,1776.0,1186.0,238.0,189.0,145.0,1975.0,,"Shandong Gold Mining Co., Ltd.",25.81774302675,31.65248535274,31.78321042513,36.696468518050004,25.34713056316,30.436877966830004,34.55944167827,46.42534408518,32.33782979884,32.206964772439996,46.52437529038,54.02517230727,62.63069927639,63.66403012203,33.93496045294,50.305754258449994,-3.83142908307,-8.04365458973,-2.60690992452,-5.25068001683,0.3,0.47,-0.09,,58.15557282559,63.85945012518,78.30758571551,90.72164082532001,1.28946754354,2.25718103811,-0.19368729091,1.24585863024,CNY,,,,FALSE,Resources&Materials
BANK OF HANGZHOU,1594.0,1585.0,2149.0,237.0,207.0,284.0,1996.0,,"Bank of Hangzhou Co., Ltd.",62.544597,80.862555,90.070586,98.573225,221.859019,244.655738,379.952413,398.339252,961.52551,1088.394693,1300.493944,1517.964826,21.402087,24.63788,29.147975,32.571443,1.806695,-59.958535,-102.956769,-62.164966,1.19,1.17,1.43,1.83,1024.070107,1169.257248,1390.56453,1616.538051,6.602123,7.13645,9.261019,11.67933,CNY,,7914.0,,FALSE,Finance&Investments
CHINA GALAXY SECURITIES,1523.0,1623.0,1164.0,233.0,190.0,142.0,2007.0,,"China Galaxy Securities Co., Ltd.",71.92169790703,82.008058,98.978051,102.612898,166.53119665363002,218.821084,238.391923,255.039013,243.7441795268,363.722157,461.156982,522.602826,17.03181346285,17.179754,22.90474,18.592475,-12.812101422360001,-42.557872,-23.701738,-24.811024,0.52,0.71,0.97,,315.66587743383,445.730215,560.135033,625.215724,5.22842905209,7.243654,10.430238,7.760544,CNY,,13165.0,,FALSE,Finance&Investments
AVARY HOLDING (SHENZHEN),1327.0,1821.0,1044.0,200.0,156.0,134.0,1999.0,,"Avary Holding(Shenzhen)Co., Limited",19.82925499249,21.55928685449,23.812982133029998,27.93678773753,19.82925499249,21.55802674504,23.972267683029997,28.112507580330004,9.02693291616,11.543128373450001,11.72847546982,10.86623722447,26.61462937249,29.8513144805,33.31484922068,36.21097144199,-3.08487994192,-4.57015173891,-6.95202611532,-4.483924362850001,1.27,1.23,1.43,,28.85618790865,33.10241522794,35.541457602849995,38.803024962,2.9246143983,2.84146997738,3.31727417823,5.01153663903,CNY,,35344.0,,FALSE,Technology&Electronics
LUFAX,1503.0,1024.0,483.0,232.0,69.0,56.0,2011.0,,Lufax Holding Ltd,48.145417,83.151321,94.559203,94.786675,61.045857,109.522983,137.055713,145.555754,101.388097,165.738926,265.874283,254.476132,40.923673,43.133936,54.31294,50.447092,-11.013511,-15.00375,0.313822,8.447678,6.135,5.595,7.11,3.8,149.533514,248.890247,360.433486,349.262807,13.332431,12.354114,16.80438,8.699369,CNY,,71034.0,,FALSE,Finance&Investments
SHANGHAI PUTAILAI NEW ENERGY TECHNOLOGY,1293.0,1380.0,2628.0,197.0,306.0,371.0,2012.0,,"Shanghai Putailai New Energy Technology Co.,Ltd.",3.64459765471,8.91529904918,10.66927312763,13.969219024780001,3.62364808338,8.91416399806,11.47322560955,16.386674113290002,4.486326807069999,5.57097637547,10.78098943421,21.728090132880002,4.79852603063,5.28067405878,8.99589411131,15.46390595937,-1.54692598034,-0.60817959401,-2.85166680567,-3.0432100975500003,0.535714,0.545,1.27,,8.13092446178,14.48627542465,21.45026256184,35.69730915766,0.65107401002,0.66763752589,1.7487278191300002,3.10443399356,CNY,,11278.0,,FALSE,Resources&Materials
JIANGSU EASTERN SHENGHONG,1301.0,979.0,3986.0,199.0,377.0,683.0,1998.0,,"Jiangsu Eastern Shenghong Co.,Ltd.",15.30001155126,22.54785949472,29.40802907806,35.69752583694,17.29579096701,35.74482981973,83.91589550545,106.07869153025,19.742241119830002,40.38575306962,102.59451410069,130.81418756884,24.88776895959,22.77700353578,51.72217969792,63.82231566945,-4.684339319029999,-16.0203378792,-41.008254296480004,-32.1491290063,0.4,0.14,0.77,0.09,35.04225267109,62.933612564339995,132.00254317875,166.51171340578,1.61379552571,0.31630844437,4.54360400984,0.54816257115,CNY,0.0,27441.0,,FALSE,Resources&Materials
HUALI INDUSTRIAL GROUP COMPANY LIMITED,1298.0,1405.0,,198.0,,,1995.0,,Huali Industrial Group Company Limited,4.16828250043,5.74140343143,10.926758254940001,13.19543256418,4.16828250043,5.74140343143,10.926758254940001,13.19543256418,5.44470357583,3.99688275509,5.252564599,3.91483749757,15.16566130047,13.93113796693,17.469576228770002,20.56926734844,-1.36796619209,-0.8362344481599999,-4.34954748046,-2.02535112498,3.42,1.79,2.45,,9.61298607626,9.73828618652,16.17932285394,17.11027006175,1.82108505835,1.87858829345,2.7678611318,3.22802488872,CNY,,155481.0,,FALSE,Retail&ECommerce
GONGNIU GROUP,1288.0,1332.0,,196.0,,,1995.0,,"Gongniu Group Co., Ltd.",5.55130384196,9.13739256909,10.755751576629999,,5.55130384196,9.29742990242,10.755751576629999,,1.8652589181500001,3.3001490052899998,4.7181530899899995,,10.04043972407,10.05112883405,12.38491633751,,-1.7922858728900002,-4.24959175814,-1.5889879311500001,,4.27,3.89,4.63,,7.41656276011,12.437541574379999,15.473904666620001,,2.30372267644,2.31343007414,2.7803607326599997,,CNY,,,,FALSE,Technology&Electronics
"IMEIK TECHNOLOGY DEVELOPMENT CO.,LTD.",1287.0,1163.0,,195.0,,,2004.0,,"Imeik Technology Development Co.,Ltd.",0.66270063144,4.53122417315,5.02965075143,5.94578067223,0.65893355825,4.5338161113,5.02947272996,5.84612623219,0.08094522793,0.10144465998,0.23517502669999998,0.31276702794,0.55771565279,0.709290197,1.44787200148,1.9388383637,-0.0256230267,-0.9162498041699999,-0.64777898009,-0.94371383809,1.883333,4.51,4.43,5.84,0.74364585937,4.63266883313,5.2648257781300005,6.25854770017,0.30551984087,0.43974878382,0.95779854801,1.26355841571,CNY,,713.0,,FALSE,Healthcare
"CNGR ADVANCED MATERIAL CO.,LTD.",1532.0,1633.0,,234.0,,,2014.0,,"CNGR Advanced Material Co.,Ltd.",2.1141499606,3.83668723167,10.62256089469,,2.26424356273,4.67762383869,12.38476559692,,4.0496396717,6.02742384246,17.577201389400003,,5.3112128199,7.43962407244,20.072491322919998,,-0.60466231852,-0.9373032119,-5.17142195799,,0.4,0.8200000000000001,1.64,,6.1637896323,9.86411107413,28.19976228409,,0.17982699988,0.42015938857,0.93895208415,,CNY,,10140.0,,FALSE,Resources&Materials
CHINA UNICOM (HONG KONG),1283.0,1251.0,526.0,194.0,153.0,59.0,2009.0,,China Unicom (Hong Kong) Limited,320.755,327.52,333.433,343.536,326.912,332.066,334.914,343.147,241.744,253.096,257.643,299.127,290.515,303.838,327.854,354.944,-59.053,-92.018,-74.784,-56.112,0.37,0.41,0.47,0.55,562.499,580.616,591.076,642.663,11.33,12.493,14.368,16.745,CNY,0.0,244658.0,,FALSE,Communication&Entertainment
NEW CHINA LIFE INSURANCE COMPANY,1274.0,1279.0,785.0,192.0,116.0,97.0,1996.0,,New China Life Insurance Company Ltd.,84.461,101.68,108.514,102.905,84.451,111.667,118.497,112.884,794.509,902.696,1019.207,1152.139,174.065,206.275,222.002,214.337,-85.636,-67.728,-106.531,-90.47,4.67,4.58,4.79,3.15,878.97,1004.376,1127.721,1255.044,14.559,14.294,14.947,9.822,CNY,,32564.0,,FALSE,Finance&Investments
GUANGZHOU TINCI MATERIALS TECHNOLOGY,1279.0,1171.0,5792.0,193.0,302.0,,2000.0,,"Guangzhou Tinci Materials Technology Co., Ltd.",2.97106715914,3.53580756725,7.36986426481,12.83771687199,2.99829706631,3.70301177164,7.46756648876,16.5108407019,2.35857569632,2.47466146444,6.52931615956,12.69321206373,2.7545896247,4.11904639555,11.09080169282,22.31693560386,-0.28851125864,-0.39706649076,-1.7578649417899999,-5.10661932823,0.008824,0.29,1.18,2.99,5.32964285546,6.01046903169,13.899180424370002,25.530928935720002,0.01631967603,0.5328714880500001,2.20833717626,5.714438026640001,CNY,,4020.0,,FALSE,Resources&Materials
CHINA RAILWAY CONSTRUCTION CORPORATION,1208.0,1340.0,743.0,178.0,183.0,89.0,1948.0,,China Railway Construction Corporation Limited,262.021574,313.63909,346.492996,386.015863,324.039606,391.427761,413.368741,451.996107,819.217639,929.153709,1006.47701,1137.935189,830.452157,910.324763,1020.010179,1096.312867,-50.168858,-50.297671,-61.070185,-55.645696,1.4,1.5,1.6,,1081.239213,1242.792799,1352.970006,1523.951052,20.197378,22.392983,24.690556,26.642094,CNY,,269577.0,,FALSE,Services&Travel
CHINA SOUTHERN AIRLINES COMPANY,1219.0,1514.0,1311.0,180.0,217.0,160.0,1988.0,1997.0,China Southern Airlines Company Limited,77.329,85.131,84.508,55.359,77.743,107.718,106.205,75.719,229.599,241.252,238.703,256.887,154.322,92.561,101.644,87.059,-14.427,-8.049,-15.82,,0.22,-0.77,-0.75,-1.9,306.928,326.383,323.211,312.246,2.64,-10.847,-12.106,-32.699,CNY,,97899.0,,FALSE,Logistics&Transportation
TSINGTAO BREWERY COMPANY,1212.0,1384.0,1584.0,179.0,155.0,195.0,1903.0,,Tsingtao Brewery Company Limited,19.913370856,21.368052166,23.793691342,26.272312535,19.171792214,20.621960515,23.001844598,25.494821703,17.399012691,20.146133669,22.769313149,24.039387261,27.983760363,27.759710926,30.166805377,32.171565624,-0.347765605,-1.487738165,-10.249763562,-2.199108158,1.371,1.629,2.328,2.736,37.312383547,41.514185835,46.563004491,50.311699796,1.852103376,2.201323556,3.15545581,3.710628593,CNY,,31707.0,,FALSE,Food&Restaurants
MAXSCEND MICROELECTRONICS COMPANY,1205.0,1101.0,2436.0,177.0,175.0,331.0,2012.0,,Maxscend Microelectronics Company Limited,1.69750290093,2.6520766086500003,7.634409023520001,,1.7031070418299998,2.65986002232,7.64232024145,,0.2256280726,0.43821839026,0.8134370443300001,,1.51239455411,2.79214753548,4.633570865699999,,-0.58185862893,0.13023464089,-3.35572100162,,1.096042,2.069438,4.009688,,1.92313097353,3.0902949989099997,8.44784606785,,0.49716996125,1.07279254332,2.13483460414,,CNY,,217.0,,FALSE,Technology&Electronics
LENS TECHNOLOGY,1200.0,1187.0,1728.0,175.0,130.0,221.0,2003.0,,"Lens Technology Co., Ltd.",22.437506151810002,42.31859167683,42.79942575086,44.381766594199995,25.73277403172,49.09029461173,53.651283261029995,53.29540606378,24.5910423467,37.25699972249,33.81175294776,33.96387479236,30.25776024861,36.93913359893,45.26814620865,46.69854563287,-4.46299264207,-15.27380835192,-8.54947497489,-5.5766948996400005,0.62,1.12,0.42,,47.028548498510006,79.57559139932,76.61117869862,78.34564138656,2.46879143706,4.89617022837,2.07024293438,2.4480815480199998,CNY,,198990.0,,FALSE,Technology&Electronics
GUOSEN SECURITIES,1186.0,1179.0,1049.0,174.0,132.0,135.0,1989.0,,"Guosen Securities Co., Ltd.",56.25525154217,80.92446944374001,96.92691945125999,,117.44965691161,148.96317032382998,172.39469841679002,,168.38906065249,221.83140686410002,265.37452286766,,13.53846606738,18.26676278605,22.93875215737,,-0.18129279856,-0.82765474883,0.40717882335,,0.56,0.72,0.97,,224.64431219466002,302.75587630784,362.30144231892,,4.91018720637,6.6157394711099995,10.11475879589,,CNY,0.0,12003.0,,FALSE,Finance&Investments
ZHEJIANG CHINT ELECTRICS,1202.0,1174.0,1832.0,176.0,215.0,242.0,1997.0,,"Zhejiang Chint Electrics Co., Ltd.",24.95161142258,31.18213399587,34.46865030021,,33.44769247184,42.24023240025,47.94773590045,,30.32583511425,38.08761724008,50.98249533842,,30.22590627803,33.2530620992,38.86462364752,,-4.880811237560001,-7.41837034944,-8.86605267385,,1.75,2.99,1.58,,55.27744653683,69.26975123595,85.45114563863001,,3.7617952884099997,6.42717291325,3.40063798092,,CNY,,25140.0,,FALSE,Resources&Materials
SHANGHAI FOSUN PHARMACEUTICAL (GROUP),1185.0,965.0,1590.0,173.0,138.0,196.0,1994.0,,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",39.20421332417,45.984281812949995,48.37556445152,54.10890961335,44.46497307777,45.47121909012,48.24101885353,56.682325796419995,36.91543233915,37.701727888629996,44.91822650644,53.05499761899,28.58515203318,30.30698126417,39.00508660241,43.95154689523,-0.17196276849,-4.70622871685,-3.85698706599,-4.06403816066,1.3,1.43,1.85,1.43,76.11964566332001,83.68600970158,93.29379095796001,107.16390723234,3.32161756605,3.66281293798,4.73526969083,3.7308045828200003,CNY,,38399.0,,FALSE,Healthcare
GSX TECHEDU,1415.0,1415.0,2492.0,216.0,222.0,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,IT&Software
CHINA CSSC HOLDINGS,1175.0,1208.0,3033.0,172.0,226.0,449.0,1998.0,,China CSSC Holdings Limited,21.067476712770002,52.825853977410006,53.10417362198,50.47929902605,17.71891862642,49.85687234787,53.97223782384,56.90485112518,23.283906949200002,99.68367457031,107.29807138647999,111.95820191239,23.13618791943,55.24354132018,59.74042634626,59.557739101269995,-1.21482719451,-2.5569309636799997,-4.55762598288,-8.3405492387,0.71,0.07,0.05,0.04,44.351383661970004,152.50952854772,160.40224500846,162.43750093844,0.40475701218,0.30580098544,0.21381462244,0.17187314632,CNY,,19733.0,,FALSE,Transport&Aerospace
BANK OF JIANGSU,1408.0,1457.0,1308.0,214.0,221.0,158.0,2007.0,,"Bank of Jiangsu Co., Ltd.",136.435921,182.079273,198.055748,215.431339,534.029561,642.509183,696.555164,788.998172,1928.622466,2155.813641,2420.818512,2764.863353,44.87188,51.770953,63.642381,70.501156,48.783653,-33.877247,-49.492235,-48.086546,1.18,1.21,1.21,,2065.058387,2337.892914,2618.87426,2980.294692,14.618609,15.065745,19.694365,25.385993,CNY,,17590.0,,FALSE,Finance&Investments
AVIC AIRCRAFT,1413.0,1639.0,2224.0,215.0,178.0,298.0,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Transport&Aerospace
BILIBILI,1373.0,710.0,627.0,209.0,87.0,74.0,2010.0,2018.0,Bilibili Inc.,7.63646,7.782204,21.716066,15.239587,10.467112,15.941122,39.487759,23.920978,7.880107,16.083404,30.337085,26.590983,6.777922,11.998976,19.383684,21.899167,-3.958277,-8.906821,-24.578111,10.609218,-3.99,-8.71,-17.87,,15.516567,23.865608,52.053151,41.83057,-1.288973,-3.011704,-6.789228,-7.497013,CNY,,11092.0,,FALSE,Communication&Entertainment
SHANGHAI INTERNATIONAL AIRPORT,1339.0,1622.0,773.0,205.0,117.0,94.0,1998.0,,"Shanghai International Airport Co., Ltd.",32.449724727349995,29.558896453150002,27.705935548990002,40.71658093922,32.004423802080005,29.2154752406,27.504536530459998,39.62069316222,4.72150432839,3.64328456325,23.720153085240003,27.07161096771,10.94466847776,4.303465087939999,3.7277972622199997,5.48044762136,-1.80968585502,0.21572386102000002,-0.8584243660700001,,2.61,-0.66,-0.68,-1.26,37.17122905574,33.202181016400004,51.426088634230005,67.78819190693,5.03021005262,-1.2666513875599998,-1.7109387101400002,-2.98185676412,CNY,,8389.0,,FALSE,Transport&Aerospace
BANK OF NANJING,1388.0,1458.0,1446.0,212.0,220.0,177.0,1996.0,,"Bank of Nanjing Co., Ltd.",87.928196,108.032972,122.564792,,305.028756,329.694781,376.531707,,1255.507175,1409.042793,1626.381955,,31.924213,33.877943,40.496366,,0.791842,-41.750916,-128.371356,,1.42,1.34,1.54,,1343.435371,1517.075765,1748.946747,,12.453477,13.100883,15.856757,,CNY,0.0,13592.0,,FALSE,Finance&Investments
WALVAX BIOTECHNOLOGY,1379.0,1145.0,2184.0,210.0,286.0,291.0,2001.0,,"Walvax Biotechnology Co., Ltd.",5.66596315049,7.84787838067,9.998798618450001,10.98957627295,4.865163291479999,6.54475537808,8.48423208582,9.39809866174,1.3517616363499998,1.7904109508900001,3.67531570716,4.33841485563,1.12122028878,2.9390212190500002,3.46283109414,5.0864451951000005,0.1929963556,-0.7299997057000001,-0.977149844,-0.93518637015,0.0923,0.6518,0.2727,0.4546,7.017724786840001,9.63828933156,13.67411432561,15.32799112858,0.14197451822999999,1.00318682775,0.42774768159,0.7286520093400001,CNY,,2249.0,,FALSE,Healthcare
ALUMINUM CORPORATION OF CHINA,1355.0,1147.0,1811.0,207.0,303.0,238.0,2001.0,,Aluminum Corporation of China Limited,70.72506,71.171716,72.783497,87.755967,106.892588,105.592228,109.753745,112.999777,132.345604,123.729968,119.5934,124.592064,190.074161,185.994253,269.748232,290.987942,-13.392301,1.93282,-0.744301,-3.418297,0.55,0.85,8.15,5.975,203.070664,194.901684,192.376897,212.348031,0.850999,0.741004,5.079562,4.191927,CNY,,67383.0,,FALSE,Resources&Materials
BANK OF BEIJING,1349.0,1493.0,936.0,206.0,177.0,118.0,1996.0,,"Bank of Beijing Co., Ltd.",208.963,221.143,297.078,310.617,651.794,651.96,733.282,786.434,2528.077,2678.871,2761.881,3077.335,62.988,64.198,66.122,66.128,0.398,31.873,36.373,-14.565,0.98,0.98,1.02,1.02,2737.04,2900.014,3058.959,3387.952,21.441,21.484,22.226,24.76,CNY,,17980.0,,FALSE,Finance&Investments
HANGZHOU TIGERMED CONSULTING,1403.0,1223.0,2188.0,213.0,125.0,292.0,2004.0,,"Hangzhou Tigermed Consulting Co., Ltd",5.5216479419399995,17.8584740943,20.60519719964,22.68103094149,4.26195795655,16.11856800827,18.123626117209998,19.827663469599997,2.01100323458,1.64758362518,3.13597435168,4.76547965495,2.8033092876500003,3.19227850471,5.213538054,7.08547146887,-0.63815273736,-2.36743010677,-2.7826843133600003,-2.7893658627800004,1.13,2.2,3.31,2.32,7.532651176520001,19.50605771948,23.74117155132,27.44651059644,0.84163482338,1.74977478153,2.87416302017,2.0065520353,CNY,,9233.0,,FALSE,Healthcare
PHARMARON BEIJING,1364.0,953.0,2512.0,208.0,192.0,353.0,2004.0,,"Pharmaron Beijing Co., Ltd.",7.83801832204,8.93374007423,10.29530674377,10.83986771517,8.30909066061,9.265130763459998,14.552425993129999,15.0028763785,2.0970199365499997,2.9750526128200003,8.09381760958,9.6526895129,3.7571600868400004,5.13359675868,7.44376972438,10.266288179530001,-1.04520442508,-3.3710508802600003,-5.25814692979,-2.20854212654,0.552267,0.988333,1.3988,1.1625,9.93503825859,11.90879268705,18.38912435335,20.492557228069998,0.5471914869400001,1.1723823878,1.66102856753,1.37460422418,CNY,,19481.0,,FALSE,Healthcare
FLAT GLASS GROUP,1328.0,1284.0,3896.0,201.0,245.0,635.0,1998.0,,"Flat Glass Group Co., Ltd.",4.512888388,7.23474263985,11.810169072790002,14.03244721317,4.7947907983,8.84643651355,13.77791750083,21.51019596314,4.87939218191,5.03105773517,8.27274802771,18.349275392880003,4.8068040209600005,6.26041779226,8.71322806559,15.46084322736,-1.24777203295,-2.3741610086900002,-3.56256024334,-7.8690151662600005,0.37,0.8300000000000001,0.99,0.99,9.39228056991,12.265800375020001,20.0829171005,32.38172260605,0.71724370867,1.6287837876300002,2.1199193264300003,2.12278042843,CNY,,7693.0,,FALSE,Resources&Materials
KANZHUN LTD,1338.0,1393.0,,204.0,,,2013.0,2021.0,Kanzhun Limited,-1.660936,-2.300117,10.674056,11.640763,-1.660936,-2.300117,10.674056,11.640763,3.539935,7.383396,2.967567,3.186104,0.99872,1.944359,4.259128,4.511062,-1.223803,0.467305,-0.601862,-2.816581,-2.061825,-3.441765,-4.66,0.24,1.878999,5.083279,13.641623,14.826867,-0.502055,-0.941895,-1.071074,0.107245,CNY,,5602.0,,FALSE,Communication&Entertainment
