company_name,world_rank_2022,world_rank_2021,world_rank_2020,company_business,local_rank_2022,local_rank_2021,local_rank_2020,num_employees_x,founded_year,ipo_year,matched_to,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,currency,num_employees_y,status,use_cases,slugs_matched,related_companies,total_articles,profile_tier
SHANDONG GOLD MINING,1601,1776,1186,"['Basic Materials', 'Mining', 'Gold Mining', 'Metals', 'Precious Metals']",238,189,145,,1975,,"Shandong Gold Mining Co., Ltd.",25817743026.75,31652485352.74,31783210425.13,36696468518.05,25347130563.16,30436877966.83,34559441678.27,46425344085.18,32337829798.84,32206964772.44,46524375290.38,54025172307.27,62630699276.39,63664030122.03,33934960452.94,50305754258.45,-3831429083.07,-8043654589.73,-2606909924.52,-5250680016.83,0.30000000000000004,0.47000000000000003,-0.09,,58155572825.59,63859450125.18,78307585715.51,90721640825.32,1289467543.54,2257181038.11,-193687290.91,1245858630.24,CNY,,,,,,,
JIANGSU EASTERN SHENGHONG,1301,979,3986,"['Consumer Cyclical', 'Textile', 'Chemicals', 'Electricity Generation', 'Power Generation']",199,377,683,,1998,,"Jiangsu Eastern Shenghong Co.,Ltd.",15300011551.26,22547859494.72,29408029078.06,35697525836.94,17295790967.01,35744829819.73,83915895505.45,106078691530.25,19742241119.83,40385753069.62,102594514100.69,130814187568.84,24887768959.59,22777003535.78,51722179697.92,63822315669.45,-4684339319.03,-16020337879.2,-41008254296.48,-32149129006.3,0.4,0.14,0.77,0.09,35042252671.09,62933612564.34,132002543178.75,166511713405.78,1613795525.71,316308444.37,4543604009.84,548162571.15,CNY,27441,False,,['jiangsu-bank-corporation'],['Jiangsu Bank Corporation'],0,3
CHINA SHIPBUILDING INDUSTRY COMPANY,1332,1369,937,"['Industries', 'Shipping', 'Marine Systems', 'Ship Parts', 'Aerospace and Defense']",202,191,119,33009,1999,,China Shipbuilding Industry Company Limited,86342524623.8,86150990770.57,86097175834.99,84084545338.67,98956334412.3,90857228112.32,93053461196.41,100765691148.91,96308938878.01,86255780578.54,94042164637.11,104812829162.75,38056548506.91,34906187574.36,39539359088.3,44154934695.56,-8504626346.93,15832135377.84,-5515466403.07,-9645904914.37,0.022,-0.021,0.01,-0.099,182651463501.81,172406771349.11,180139340472.1,188897374501.42,501162530.83,-481193919.75,219908725.54,-2260794294.6,CNY,,,,,,,
WINGTECH TECHNOLOGY,873,997,1030,"['Technology', 'Semiconductors', 'Electronics', 'Communications Equipment']",110,141,130,22467,1993,,"Wingtech Technology Co.,Ltd",21421959462.01,29074502823.27,34516010036.53,,32495323684.35,36864293855.97,45107005026.71,,43709792447.21,30816047135.65,38059872455.03,,41578163284.38,51706626949.92,52728649531.06,,-12304413855.15,-3214453212.68,-5944765813.31,,1.76,2.06,2.11,,65131751909.22,59890549958.92,72575882491.56,,1253563979.32,2415323890.54,2611542317.51,,CNY,,,,,,,
"NINGBO DEYE TECHNOLOGY GROUP CO., LTD.",,,,,,,,,,,"Ningbo Deye Technology Group Co., Ltd.",548826439.64,867273808.46,2640205549.93,4089850257.04,548826439.64,867273808.46,2640205549.93,4592963772.31,663931596.69,808245785.57,1283315966.76,4417634146.77,2570013562.19,3023631003.26,4167929962.44,5955519968.69,-54693168.56,-233063426.51,-923224262.68,-3217650761.42,1.45,2.135714,2.64,6.35,1212758036.33,1675519594.03,3923521516.69,8507484403.81,259713616.37,382445659.61,578555272.84,1517409452.98,CNY,3791,,,,,,
NINESTAR CORPORATION,1863,3070,2746,"['Technology', 'Semiconductors', 'Processors / Chips']",285,596,389,,2000,,Ninestar Corporation,9589865844.04,12173257223.13,18376012126.39,18747089442.0,13240774151.43,15181228585.85,21779968846.62,24337848101.36,28229184597.03,26053159038.9,25209050517.88,27281550472.53,23295845261.03,19585185042.24,22791658469.68,25855355245.38,-754570770.56,-956256107.52,-723506944.04,-633198409.04,0.7000000000000001,0.1272,0.9812000000000001,,37819050441.07,38226416262.03,43585062644.27,46028639914.53,744330183.09,87944296.65,1163229842.99,1862890140.81,CNY,,,,,,,
"EASTROC BEVERAGE (GROUP) CO.,LTD.",,,,,,,,,,,"Eastroc Beverage (Group) Co.,Ltd.",1635180863.58,1913253374.56,4238125540.7,5064291010.96,1872055863.58,2214980018.35,4263950540.7,5064291010.96,1705519443.7,2448033072.85,3552365618.28,6805357274.9,4208728479.27,4958502618.73,6977822474.41,8505389730.5,-532356515.12,-772650350.51,-3563261621.8,-3335768590.48,1.63,2.2557,3.112,3.6012,3340700307.28,4361286447.41,7790491158.98,11869648285.86,570573895.59,812063510.98,1192960407.59,1440520571.36,CNY,,,,,,,
GONGNIU GROUP,1288,1332,,"['Electrical Products', 'Electronics']",196,,,,1995,,"Gongniu Group Co., Ltd.",5551303841.96,9137392569.09,10755751576.63,,5551303841.96,9297429902.42,10755751576.63,,1865258918.15,3300149005.29,4718153089.99,,10040439724.07,10051128834.05,12384916337.51,,-1792285872.89,-4249591758.14,-1588987931.15,,4.27,3.89,4.63,,7416562760.11,12437541574.38,15473904666.62,,2303722676.44,2313430074.14,2780360732.66,,CNY,,,,,,,
SHANGHAI PUTAILAI NEW ENERGY TECHNOLOGY,1293,1380,2628,"['Basic Materials', 'Batteries', 'Chemicals']",197,306,371,,2012,,"Shanghai Putailai New Energy Technology Co.,Ltd.",3644597654.71,8915299049.18,10669273127.63,13969219024.78,3623648083.38,8914163998.06,11473225609.55,16386674113.29,4486326807.07,5570976375.47,10780989434.21,21728090132.88,4798526030.63,5280674058.78,8995894111.31,15463905959.37,-1546925980.34,-608179594.01,-2851666805.67,-3043210097.55,0.535714,0.545,1.27,,8130924461.78,14486275424.65,21450262561.84,35697309157.66,651074010.02,667637525.89,1748727819.13,3104433993.56,CNY,11278,,,,,,
NEW CHINA LIFE INSURANCE COMPANY,1274,1279,785,"['Financial Services', 'Banking Services', 'Insurance']",192,116,97,36309,1996,,New China Life Insurance Company Ltd.,84461000000.0,101680000000.0,108514000000.0,102905000000.0,84451000000.0,111667000000.0,118497000000.0,112884000000.0,794509000000.0,902696000000.0,1019207000000.0,1152139000000.0,174065000000.0,206275000000.0,222002000000.0,214337000000.0,-85636000000.0,-67728000000.0,-106531000000.0,-90470000000.0,4.67,4.58,4.79,3.15,878970000000.0,1004376000000.0,1127721000000.0,1255044000000.0,14559000000.0,14294000000.0,14947000000.0,9822000000.0,CNY,32564,,,,,,
SDIC POWER HOLDINGS,1642,2015,1733,"['Utilities', 'Energy', 'Electricity Generation', 'Power Generation', 'Renewable Energy']",249,284,222,9374,1989,,"SDIC Power Holdings Co., Ltd",74394179845.28,82585349589.98,88060175711.26,,155172750786.02,155989777888.79,164463328675.86,,150327333373.52,146324019976.98,153309349357.79,,42433460265.79,39320364093.66,43681745821.77,,-8730275928.22,-10242372523.19,-9088348665.18,,0.6705,0.777,0.32020000000000004,,224721513218.8,228909369566.96,241369525069.05,,4755460882.37,5515627276.16,2436891836.54,,CNY,,True,,['sdic-gaoxin-industrial-investment'],['SDIC Gaoxin Industrial Investment'],0,3
HANGZHOU FIRST APPLIED MATERIAL,1262,1044,3346,"['Technology', 'Semiconductors']",188,267,518,2525,2003,,"Hangzhou First Applied Material Co., Ltd.",6529243506.49,9029220805.39,12190084239.47,14010505987.54,7414629681.78,10379761292.45,12176177692.64,16495747251.16,1775863435.13,2515630723.3,1497880520.85,6184187061.55,6378151355.92,8393142040.58,12857893793.36,18877495145.99,-19622839.34,-1832095052.84,1517016353.46,-307343479.77,0.779762,1.2428569999999999,1.6800000000000002,1.19,8305106941.62,11544851528.69,13687964760.32,20194693049.09,957062795.31,1565006791.51,2196549310.84,1578569558.82,CNY,3663,,,,,,
IFLYTEK,1137,1193,1410,"['Technology', 'Software and IT', 'Artificial Intelligence']",162,199,170,10000,1999,,"iFLYTEK CO.,LTD",11734836002.89,12971810964.1,17337240745.87,16847063810.85,11815557528.06,12750480235.76,17172762919.65,18114149252.84,8366000082.72,11864280854.58,14056797008.54,16012075909.17,10078688919.69,13024657865.85,18313605605.92,18820234052.91,-2898992395.34,-735288823.4,-2579294652.1,-1703900538.15,0.4,0.64,0.7000000000000001,0.24,20100836085.61,24836091818.68,31394037754.41,32859139720.02,819175858.63,1363789616.73,1556463894.56,561213020.79,CNY,15046,,,,,,
GSX TECHEDU,1415,1415,2492,"['Software and IT', 'Education', 'Technology']",216,222,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVIC AIRCRAFT,1413,1639,2224,"['Industries', 'Automobile', 'Automobile Parts', 'Electrical Products', 'Defense Products']",215,178,298,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA RESOURCES MIXC LIFESTYLE SERVICES LIMITED,1824,1647,,['Real Estate'],282,,,,1994,,China Resources Mixc Lifestyle Services Limited,1031584000.0,12463032000.0,13889025000.0,,1031584000.0,12463032000.0,13887880000.0,,6069694000.0,6612922000.0,7702897000.0,,5868103000.0,6778911000.0,8875384000.0,,-1084344000.0,-1933332000.0,1419350000.0,,0.165876,0.485,0.756,,7101278000.0,19075954000.0,21591922000.0,,364928000.0,817710000.0,1724925000.0,,CNY,40239,,,,,,
HUADONG MEDICINE CO. LTD,1625,2284,2339,"['Healthcare', 'HealthCare Products', 'Pharmaceutical']",244,370,316,1056,1993,,"Huadong Medicine Co., Ltd",12866624239.87,15179411513.47,16941319005.68,19176441383.15,12309477308.0,14771432676.46,16718553228.12,19629376984.83,8597349906.76,9021936641.28,10055084361.01,12015762023.69,35445698216.15,33683058759.75,34563301233.67,37714587458.01,-1582607896.77,-1738637423.94,-1986682644.15,-2435597589.58,1.6077,1.6115,1.3154,,21463974146.63,24201348154.75,26996403366.69,31192203406.84,2813118702.11,2819861203.63,2301631347.64,2499214359.57,CNY,14061,,,,,,
YONYOU NETWORK TECHNOLOGY,1126,1286,1436,"['Technology', 'Software and IT', 'Cloud Services']",160,122,174,17271,1988,,"Yonyou Network Technology Co.,Ltd.",8294189923.0,8547275743.0,7926232766.0,12518019618.0,7217633891.0,7542940505.0,7377455449.0,12287068915.0,9244192784.0,8402987435.0,9403111004.0,11037078338.0,8509659748.0,8524588604.0,8931797941.0,9261744112.0,-182957669.0,-893578324.0,-1230056657.0,-3853094545.0,0.37,0.30000000000000004,0.22,0.06,17538382707.0,16950263178.0,17329343770.0,23555097956.0,1182989733.0,988601470.0,707762887.0,219171878.0,CNY,25383,False,,['yonyou'],['Yonyou'],0,3
GUOSEN SECURITIES,1186,1179,1049,"['Financial Services', 'Investments', 'Stock Markets, Trading, Capital Markets', 'Securities', 'Brokerage Services']",174,132,135,10423,1989,,"Guosen Securities Co., Ltd.",56255251542.17,80924469443.74,96926919451.26,,117449656911.61,148963170323.83,172394698416.79,,168389060652.49,221831406864.1,265374522867.66,,13538466067.38,18266762786.05,22938752157.37,,-181292798.56,-827654748.83,407178823.35,,0.56,0.72,0.97,,224644312194.66,302755876307.84,362301442318.92,,4910187206.37,6615739471.11,10114758795.89,,CNY,12003,False,,['guosen-securities-co-ltd'],"['Guosen Securities Co., Ltd.']",0,3
"INNER MONGOLIA BAOTOU STEEL UNION CO., LTD.",1040,830,,"['Basic Materials', 'Iron and Steel', 'Metal Products Manufacturing', 'Metal Fabrication Products']",141,,,28041,1999,,"Inner Mongolia Baotou Steel Union Co., Ltd.",60981253620.81,61617302691.23,64202765301.97,61394923578.32,68003758934.1,74542578147.28,69575643416.35,66493071663.42,86105367455.37,82604972243.2,83765170674.95,85327164673.92,63397466567.38,59266130291.07,86183145818.41,72171753910.7,-1951031153.49,-1073150059.53,-1074739300.76,-1536243232.85,0.012,0.0089,0.0631,,147086621076.18,144222274934.43,147967935976.92,146722088252.24,667930744.99,405957989.95,2866448328.14,-729956771.57,CNY,28156,,,,,,
BEIJING ORIENTAL YUHONG WATERPROOF TECHNOLOGY,1015,1115,2507,"['Industries', 'Construction Materials', 'Chemicals', 'Building Products and Equipment']",135,198,352,,1998,,"Beijing Oriental Yuhong Waterproof Technology Co., Ltd.",9959869031.01,14830975508.57,26683661125.41,27188485149.78,11732528570.95,15036081806.52,27398141243.32,27351103098.8,12455791157.55,13015673272.23,23049565802.97,23367294474.66,18154344171.4,21730373038.52,31934201004.74,31213835246.24,-1374361942.83,-1743762608.62,-5650664942.83,-4728645913.52,0.93,1.51,1.74,0.85,22415660188.56,27846648780.8,49733226928.38,50555779624.44,2065944687.98,3388870065.01,4204699487.9,2120297575.39,CNY,12590,,,,,,
CHINA SOUTHERN AIRLINES COMPANY,1219,1514,1311,"['Industries', 'Airlines', 'Aviation', 'Transportation']",180,217,160,100431,1988,1997,China Southern Airlines Company Limited,77329000000.0,85131000000.0,84508000000.0,55359000000.0,77743000000.0,107718000000.0,106205000000.0,75719000000.0,229599000000.0,241252000000.0,238703000000.0,256887000000.0,154322000000.0,92561000000.0,101644000000.0,87059000000.0,-14427000000.0,-8049000000.0,-15820000000.0,,0.22,-0.77,-0.75,-1.9,306928000000.0,326383000000.0,323211000000.0,312246000000.0,2640000000.0,-10847000000.0,-12106000000.0,-32699000000.0,CNY,97899,,,,,,
CITIC PACIFIC SPECIAL STEEL GROUP,1127,1130,1597,"['Basic Materials', 'Iron and Steel', 'Metals']",161,166,197,,,,"Citic Pacific Special Steel Group Co., Ltd.",25276582489.78,28385169096.27,32967643635.0,36437343690.04,33630131440.67,37448518325.45,43224742728.39,48693344126.66,47308430327.66,49055786775.35,51908652590.45,54337273626.25,72619869343.03,74728365792.7,97332335466.56,98344705612.72,-2988850414.13,-1701888086.99,-4071277982.51,-1855813595.98,1.07,1.2,1.54,1.4100000000000001,72585012817.44,77440955871.62,84876296225.45,90774617316.29,5386471750.59,6024490435.25,7952600073.0,7105382183.65,CNY,23614,True,,['citic-securities'],['CITIC Securities'],1,3
AVIC JONHON OPTRONIC TECHNOLOGY,1272,1355,2382,"['Technology', 'Electronics', 'Aerospace and Defense', 'Capital Goods']",191,209,328,,2002,,"AVIC Jonhon Optronic Technology Co.,Ltd.",8733482036.89,10494634415.33,15896543868.23,18501612718.36,8305293741.69,9803984387.81,15581502301.61,17441210498.27,6398387507.67,8723784450.44,11090788344.62,13309120441.63,9158826503.64,10305222374.39,12866862661.2,15838116672.04,-281243706.85,-412847096.87,-1065290788.18,-1465789536.6,0.744429,0.961071,1.3037,,15131869544.56,19218418865.77,26987332212.85,31810733159.99,1071086932.0,1439082431.84,1990997442.19,2717129034.17,CNY,,,,,,,
SANAN OPTOELECTRONICS,855,961,1406,"['Technology', 'Electronics', 'Semiconductors', 'Lighting Products']",106,147,169,,1993,,"Sanan Optoelectronics Co.,Ltd",21745258139.45,29672063463.61,30454423426.63,37946554766.86,21865258139.45,30577312463.61,33054380426.63,41296054766.86,7935343472.86,9303389323.85,17067131643.72,20442733037.74,7460013878.84,8453882765.43,12572100926.67,13222316118.09,-1571337936.16,-4575176169.76,-8607432281.93,-4104036249.59,0.32,0.24,0.29,0.15,29680601612.31,38975452787.46,47521555070.35,58389287804.6,1298466700.52,1016280048.82,1313021414.22,685056858.01,CNY,,,,,,,
HENAN SHUANGHUI INVESTMENT & DEVELOPMENT,1158,1568,1124,"['Consumer Defensive', 'Meat / Poultry / Fish / Chicken', 'Food Products', 'FMCG', 'Package Foods']",167,102,138,,1998,,"Henan Shuanghui Investment & Development Co.,Ltd.",17115390812.33,24132718966.78,23149710564.35,22182468274.44,16503888557.0,23778142186.71,22821567012.31,21865091518.52,11517949718.79,10571162795.18,10827651325.11,14229511445.34,60348305743.59,73935193285.13,66797549317.92,62730570471.06,-1374708552.69,-3652258132.87,-592352615.53,-3488329063.97,1.6381999999999999,1.8642,1.4044,,28633340531.12,34703881761.96,33977361889.46,36411979719.78,5437612565.07,6255513991.33,4865939674.32,5620885670.8,CNY,,,,,,,
