company_name,world_rank_2022,world_rank_2021,world_rank_2020,company_business,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,founded_year,ipo_year,matched_to,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,currency,status,use_cases,slugs_matched,related_companies,total_articles,profile_tier
POWER CONSTRUCTION CORPORATION OF CHINA LTD,999.0,1450.0,1618.0,"['Industries', 'Utilities', 'Real Estate', 'Electric Utilities', 'Electricity Generation']",132.0,287.0,200.0,132583.0,2009.0,,"Power Construction Corporation of China, Ltd",619.757,662.634,723.845,799.734,7.239,7.987,8.632,11.435,0.4567,0.4632,0.5792,,348.478,401.955,448.98,572.613,353.232,374.731,409.936,451.119,-72.244,-58.129,-46.427,-45.666,813.228,886.543,963.977,1040.078,193.471,223.909,240.132,240.344,CNY,,,,,,
BANK OF JIANGSU,1408.0,1457.0,1308.0,"['Financial Services', 'Banking Services']",214.0,221.0,158.0,15298.0,2007.0,,"Bank of Jiangsu Co., Ltd.",1928.622,2155.814,2420.819,2764.863,14.619,15.066,19.694,25.386,1.18,1.21,1.21,,44.872,51.771,63.642,70.501,534.03,642.509,696.555,788.998,48.784,-33.877,-49.492,-48.087,2065.058,2337.893,2618.874,2980.295,136.436,182.079,198.056,215.431,CNY,,,,,,
ZHEJIANG JINGSHENG MECHANICAL & ELECTRICAL,1626.0,1422.0,4010.0,"['Technology', 'Semiconductors']",245.0,447.0,685.0,,2006.0,,"Zhejiang Jingsheng Mechanical & Electrical Co., Ltd.",3.146,5.247,9.767,17.674,0.637,0.858,1.712,2.924,0.5,0.67,1.33,2.26,3.11,3.811,5.961,10.638,4.587,5.251,6.837,10.774,-0.536,-0.283,-0.886,-1.958,7.863,10.498,16.884,28.887,4.716,5.251,7.116,11.213,CNY,,,,,,
SHANDONG GOLD MINING,1601.0,1776.0,1186.0,"['Basic Materials', 'Mining', 'Gold Mining', 'Metals', 'Precious Metals']",238.0,189.0,145.0,,1975.0,,"Shandong Gold Mining Co., Ltd.",32.338,32.207,46.524,54.025,1.289,2.257,-0.194,1.246,0.3,0.47,-0.09,,62.631,63.664,33.935,50.306,25.347,30.437,34.559,46.425,-3.831,-8.044,-2.607,-5.251,58.156,63.859,78.308,90.722,25.818,31.652,31.783,36.696,CNY,,,,,,
JIANGSU EASTERN SHENGHONG,1301.0,979.0,3986.0,"['Consumer Cyclical', 'Textile', 'Chemicals', 'Electricity Generation', 'Power Generation']",199.0,377.0,683.0,,1998.0,,"Jiangsu Eastern Shenghong Co.,Ltd.",19.742,40.386,102.595,130.814,1.614,0.316,4.544,0.548,0.4,0.14,0.77,0.09,24.888,22.777,51.722,63.822,17.296,35.745,83.916,106.079,-4.684,-16.02,-41.008,-32.149,35.042,62.934,132.003,166.512,15.3,22.548,29.408,35.698,CNY,False,,['jiangsu-bank-corporation'],['Jiangsu Bank Corporation'],0.0,3.0
CHINA SHIPBUILDING INDUSTRY COMPANY,1332.0,1369.0,937.0,"['Industries', 'Shipping', 'Marine Systems', 'Ship Parts', 'Aerospace and Defense']",202.0,191.0,119.0,33009.0,1999.0,,China Shipbuilding Industry Company Limited,96.309,86.256,94.042,104.813,0.501,-0.481,0.22,-2.261,0.022,-0.021,0.01,-0.099,38.057,34.906,39.539,44.155,98.956,90.857,93.053,100.766,-8.505,15.832,-5.515,-9.646,182.651,172.407,180.139,188.897,86.343,86.151,86.097,84.085,CNY,,,,,,
WINGTECH TECHNOLOGY,873.0,997.0,1030.0,"['Technology', 'Semiconductors', 'Electronics', 'Communications Equipment']",110.0,141.0,130.0,22467.0,1993.0,,"Wingtech Technology Co.,Ltd",43.71,30.816,38.06,,1.254,2.415,2.612,,1.76,2.06,2.11,,41.578,51.707,52.729,,32.495,36.864,45.107,,-12.304,-3.214,-5.945,,65.132,59.891,72.576,,21.422,29.075,34.516,,CNY,,,,,,
"NINGBO DEYE TECHNOLOGY GROUP CO., LTD.",,,,,,,,,,,"Ningbo Deye Technology Group Co., Ltd.",0.664,0.808,1.283,4.418,0.26,0.382,0.579,1.517,1.45,2.135714,2.64,6.35,2.57,3.024,4.168,5.956,0.549,0.867,2.64,4.593,-0.055,-0.233,-0.923,-3.218,1.213,1.676,3.924,8.507,0.549,0.867,2.64,4.09,CNY,,,,,,
NINESTAR CORPORATION,1863.0,3070.0,2746.0,"['Technology', 'Semiconductors', 'Processors / Chips']",285.0,596.0,389.0,,2000.0,,Ninestar Corporation,28.229,26.053,25.209,27.282,0.744,0.088,1.163,1.863,0.7000000000000001,0.1272,0.9812,,23.296,19.585,22.792,25.855,13.241,15.181,21.78,24.338,-0.755,-0.956,-0.724,-0.633,37.819,38.226,43.585,46.029,9.59,12.173,18.376,18.747,CNY,,,,,,
"EASTROC BEVERAGE (GROUP) CO.,LTD.",,,,,,,,,,,"Eastroc Beverage (Group) Co.,Ltd.",1.706,2.448,3.552,6.805,0.571,0.812,1.193,1.441,1.63,2.2557,3.112,3.6012,4.209,4.959,6.978,8.505,1.872,2.215,4.264,5.064,-0.532,-0.773,-3.563,-3.336,3.341,4.361,7.79,11.87,1.635,1.913,4.238,5.064,CNY,,,,,,
GONGNIU GROUP,1288.0,1332.0,,"['Electrical Products', 'Electronics']",196.0,,,,1995.0,,"Gongniu Group Co., Ltd.",1.865,3.3,4.718,,2.304,2.313,2.78,,4.27,3.89,4.63,,10.04,10.051,12.385,,5.551,9.297,10.756,,-1.792,-4.25,-1.589,,7.417,12.438,15.474,,5.551,9.137,10.756,,CNY,,,,,,
SHANGHAI PUTAILAI NEW ENERGY TECHNOLOGY,1293.0,1380.0,2628.0,"['Basic Materials', 'Batteries', 'Chemicals']",197.0,306.0,371.0,,2012.0,,"Shanghai Putailai New Energy Technology Co.,Ltd.",4.486,5.571,10.781,21.728,0.651,0.668,1.749,3.104,0.535714,0.545,1.27,,4.799,5.281,8.996,15.464,3.624,8.914,11.473,16.387,-1.547,-0.608,-2.852,-3.043,8.131,14.486,21.45,35.697,3.645,8.915,10.669,13.969,CNY,,,,,,
NEW CHINA LIFE INSURANCE COMPANY,1274.0,1279.0,785.0,"['Financial Services', 'Banking Services', 'Insurance']",192.0,116.0,97.0,36309.0,1996.0,,New China Life Insurance Company Ltd.,794.509,902.696,1019.207,1152.139,14.559,14.294,14.947,9.822,4.67,4.58,4.79,3.15,174.065,206.275,222.002,214.337,84.451,111.667,118.497,112.884,-85.636,-67.728,-106.531,-90.47,878.97,1004.376,1127.721,1255.044,84.461,101.68,108.514,102.905,CNY,,,,,,
SDIC POWER HOLDINGS,1642.0,2015.0,1733.0,"['Utilities', 'Energy', 'Electricity Generation', 'Power Generation', 'Renewable Energy']",249.0,284.0,222.0,9374.0,1989.0,,"SDIC Power Holdings Co., Ltd",150.327,146.324,153.309,,4.755,5.516,2.437,,0.6705,0.777,0.3202,,42.433,39.32,43.682,,155.173,155.99,164.463,,-8.73,-10.242,-9.088,,224.722,228.909,241.37,,74.394,82.585,88.06,,CNY,True,,['sdic-gaoxin-industrial-investment'],['SDIC Gaoxin Industrial Investment'],0.0,3.0
HANGZHOU FIRST APPLIED MATERIAL,1262.0,1044.0,3346.0,"['Technology', 'Semiconductors']",188.0,267.0,518.0,2525.0,2003.0,,"Hangzhou First Applied Material Co., Ltd.",1.776,2.516,1.498,6.184,0.957,1.565,2.197,1.579,0.779762,1.242857,1.6800000000000002,1.19,6.378,8.393,12.858,18.877,7.415,10.38,12.176,16.496,-0.02,-1.832,1.517,-0.307,8.305,11.545,13.688,20.195,6.529,9.029,12.19,14.011,CNY,,,,,,
IFLYTEK,1137.0,1193.0,1410.0,"['Technology', 'Software and IT', 'Artificial Intelligence']",162.0,199.0,170.0,10000.0,1999.0,,"iFLYTEK CO.,LTD",8.366,11.864,14.057,16.012,0.819,1.364,1.556,0.561,0.4,0.64,0.7000000000000001,0.24,10.079,13.025,18.314,18.82,11.816,12.75,17.173,18.114,-2.899,-0.735,-2.579,-1.704,20.101,24.836,31.394,32.859,11.735,12.972,17.337,16.847,CNY,,,,,,
GSX TECHEDU,1415.0,1415.0,2492.0,"['Software and IT', 'Education', 'Technology']",216.0,222.0,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVIC AIRCRAFT,1413.0,1639.0,2224.0,"['Industries', 'Automobile', 'Automobile Parts', 'Electrical Products', 'Defense Products']",215.0,178.0,298.0,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA RESOURCES MIXC LIFESTYLE SERVICES LIMITED,1824.0,1647.0,,['Real Estate'],282.0,,,,1994.0,,China Resources Mixc Lifestyle Services Limited,6.07,6.613,7.703,,0.365,0.818,1.725,,0.165876,0.485,0.756,,5.868,6.779,8.875,,1.032,12.463,13.888,,-1.084,-1.933,1.419,,7.101,19.076,21.592,,1.032,12.463,13.889,,CNY,,,,,,
HUADONG MEDICINE CO. LTD,1625.0,2284.0,2339.0,"['Healthcare', 'HealthCare Products', 'Pharmaceutical']",244.0,370.0,316.0,1056.0,1993.0,,"Huadong Medicine Co., Ltd",8.597,9.022,10.055,12.016,2.813,2.82,2.302,2.499,1.6077,1.6115,1.3154,,35.446,33.683,34.563,37.715,12.309,14.771,16.719,19.629,-1.583,-1.739,-1.987,-2.436,21.464,24.201,26.996,31.192,12.867,15.179,16.941,19.176,CNY,,,,,,
YONYOU NETWORK TECHNOLOGY,1126.0,1286.0,1436.0,"['Technology', 'Software and IT', 'Cloud Services']",160.0,122.0,174.0,17271.0,1988.0,,"Yonyou Network Technology Co.,Ltd.",9.244,8.403,9.403,11.037,1.183,0.989,0.708,0.219,0.37,0.3,0.22,0.06,8.51,8.525,8.932,9.262,7.218,7.543,7.377,12.287,-0.183,-0.894,-1.23,-3.853,17.538,16.95,17.329,23.555,8.294,8.547,7.926,12.518,CNY,False,,['yonyou'],['Yonyou'],0.0,3.0
GUOSEN SECURITIES,1186.0,1179.0,1049.0,"['Financial Services', 'Investments', 'Stock Markets, Trading, Capital Markets', 'Securities', 'Brokerage Services']",174.0,132.0,135.0,10423.0,1989.0,,"Guosen Securities Co., Ltd.",168.389,221.831,265.375,,4.91,6.616,10.115,,0.56,0.72,0.97,,13.538,18.267,22.939,,117.45,148.963,172.395,,-0.181,-0.828,0.407,,224.644,302.756,362.301,,56.255,80.924,96.927,,CNY,False,,['guosen-securities-co-ltd'],"['Guosen Securities Co., Ltd.']",0.0,3.0
"INNER MONGOLIA BAOTOU STEEL UNION CO., LTD.",1040.0,830.0,,"['Basic Materials', 'Iron and Steel', 'Metal Products Manufacturing', 'Metal Fabrication Products']",141.0,,,28041.0,1999.0,,"Inner Mongolia Baotou Steel Union Co., Ltd.",86.105,82.605,83.765,85.327,0.668,0.406,2.866,-0.73,0.012,0.0089,0.0631,,63.397,59.266,86.183,72.172,68.004,74.543,69.576,66.493,-1.951,-1.073,-1.075,-1.536,147.087,144.222,147.968,146.722,60.981,61.617,64.203,61.395,CNY,,,,,,
BEIJING ORIENTAL YUHONG WATERPROOF TECHNOLOGY,1015.0,1115.0,2507.0,"['Industries', 'Construction Materials', 'Chemicals', 'Building Products and Equipment']",135.0,198.0,352.0,,1998.0,,"Beijing Oriental Yuhong Waterproof Technology Co., Ltd.",12.456,13.016,23.05,23.367,2.066,3.389,4.205,2.12,0.93,1.51,1.74,0.85,18.154,21.73,31.934,31.214,11.733,15.036,27.398,27.351,-1.374,-1.744,-5.651,-4.729,22.416,27.847,49.733,50.556,9.96,14.831,26.684,27.188,CNY,,,,,,
CHINA SOUTHERN AIRLINES COMPANY,1219.0,1514.0,1311.0,"['Industries', 'Airlines', 'Aviation', 'Transportation']",180.0,217.0,160.0,100431.0,1988.0,1997.0,China Southern Airlines Company Limited,229.599,241.252,238.703,256.887,2.64,-10.847,-12.106,-32.699,0.22,-0.77,-0.75,-1.9,154.322,92.561,101.644,87.059,77.743,107.718,106.205,75.719,-14.427,-8.049,-15.82,,306.928,326.383,323.211,312.246,77.329,85.131,84.508,55.359,CNY,,,,,,
CITIC PACIFIC SPECIAL STEEL GROUP,1127.0,1130.0,1597.0,"['Basic Materials', 'Iron and Steel', 'Metals']",161.0,166.0,197.0,,,,"Citic Pacific Special Steel Group Co., Ltd.",47.308,49.056,51.909,54.337,5.386,6.024,7.953,7.105,1.07,1.2,1.54,1.41,72.62,74.728,97.332,98.345,33.63,37.449,43.225,48.693,-2.989,-1.702,-4.071,-1.856,72.585,77.441,84.876,90.775,25.277,28.385,32.968,36.437,CNY,True,,['citic-securities'],['CITIC Securities'],1.0,3.0
AVIC JONHON OPTRONIC TECHNOLOGY,1272.0,1355.0,2382.0,"['Technology', 'Electronics', 'Aerospace and Defense', 'Capital Goods']",191.0,209.0,328.0,,2002.0,,"AVIC Jonhon Optronic Technology Co.,Ltd.",6.398,8.724,11.091,13.309,1.071,1.439,1.991,2.717,0.744429,0.961071,1.3037,,9.159,10.305,12.867,15.838,8.305,9.804,15.582,17.441,-0.281,-0.413,-1.065,-1.466,15.132,19.218,26.987,31.811,8.733,10.495,15.897,18.502,CNY,,,,,,
SANAN OPTOELECTRONICS,855.0,961.0,1406.0,"['Technology', 'Electronics', 'Semiconductors', 'Lighting Products']",106.0,147.0,169.0,,1993.0,,"Sanan Optoelectronics Co.,Ltd",7.935,9.303,17.067,20.443,1.298,1.016,1.313,0.685,0.32,0.24,0.29,0.15,7.46,8.454,12.572,13.222,21.865,30.577,33.054,41.296,-1.571,-4.575,-8.607,-4.104,29.681,38.975,47.522,58.389,21.745,29.672,30.454,37.947,CNY,,,,,,
HENAN SHUANGHUI INVESTMENT & DEVELOPMENT,1158.0,1568.0,1124.0,"['Consumer Defensive', 'Meat / Poultry / Fish / Chicken', 'Food Products', 'FMCG', 'Package Foods']",167.0,102.0,138.0,,1998.0,,"Henan Shuanghui Investment & Development Co.,Ltd.",11.518,10.571,10.828,14.23,5.438,6.256,4.866,5.621,1.6382,1.8642,1.4044,,60.348,73.935,66.798,62.731,16.504,23.778,22.822,21.865,-1.375,-3.652,-0.592,-3.488,28.633,34.704,33.977,36.412,17.115,24.133,23.15,22.182,CNY,,,,,,
FUYAO GLASS INDUSTRY GROUP,1144.0,1177.0,1699.0,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Glass Products']",164.0,157.0,217.0,27067.0,1987.0,,"Fuyao Glass Industry Group Co., Ltd.",17.457,16.833,18.491,21.779,2.898,2.601,3.146,4.756,1.16,1.04,1.23,1.82,21.104,19.907,23.603,28.099,22.563,24.778,28.644,32.01,-3.125,-1.167,-1.863,-7.656,38.826,38.424,44.785,50.767,21.369,21.591,26.294,28.988,CNY,,,,,,
CHINA GALAXY SECURITIES,1523.0,1623.0,1164.0,"['Financial Services', 'Banking Services', 'Stock Markets, Trading, Capital Markets']",233.0,190.0,142.0,11545.0,2007.0,,"China Galaxy Securities Co., Ltd.",243.744,363.722,461.157,522.603,5.228,7.244,10.43,7.761,0.52,0.71,0.97,,17.032,17.18,22.905,18.592,166.531,218.821,238.392,255.039,-12.812,-42.558,-23.702,-24.811,315.666,445.73,560.135,625.216,71.922,82.008,98.978,102.613,CNY,,,,,,
CNPC CAPITAL COMPANY,1803.0,1923.0,1021.0,"['Banking Services', 'Financial Services', 'Insurance', 'Conglomerate']",277.0,211.0,128.0,4361.0,1996.0,,CNPC Capital Company Limited,779.796,777.875,822.053,848.088,7.793,7.844,5.55,4.918,0.62,0.62,0.44,0.39,33.126,30.127,30.964,32.431,110.319,112.674,107.768,102.15,4.964,18.115,17.407,-35.892,933.38,940.043,990.532,1023.774,153.584,162.169,168.479,175.686,CNY,,,,,,
HANSOH PHARMACEUTICAL GROUP COMPANY,1474.0,1256.0,856.0,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']",228.0,93.0,105.0,9178.0,1995.0,,Hansoh Pharmaceutical Group Company Limited,6.531,2.916,7.131,7.355,2.557,2.569,2.713,2.584,0.47,0.44,0.46,0.44,8.683,8.69,9.935,9.382,13.044,17.876,23.772,26.93,-7.076,-2.874,-2.259,-5.935,19.575,20.792,27.16,30.002,13.044,17.876,20.029,22.647,CNY,,,,,,
TBEA,1648.0,1519.0,3521.0,"['Industries', 'Electrical Products']",252.0,458.0,557.0,,1938.0,,"TBEA Co., Ltd.",59.197,62.898,69.394,90.174,2.018,2.487,7.255,15.883,0.4695,0.5803,1.8813,4.1183,37.03,44.166,61.371,96.003,57.212,58.856,67.913,82.659,-9.992,-3.585,-11.444,-22.78,102.225,109.494,126.358,170.334,43.028,46.597,56.964,80.16,CNY,,,,,,
OPPEIN HOME GROUP,1436.0,1495.0,2122.0,"['Consumer Cyclical', 'Home Furnishing', 'Furniture']",220.0,224.0,280.0,,1994.0,,Oppein Home Group Inc.,5.255,6.918,8.984,12.097,1.839,2.063,2.666,2.688,3.13,3.47,4.4,4.41,13.533,14.74,20.442,22.48,11.161,12.421,14.409,18.115,-4.654,-2.337,-2.065,-7.146,14.814,18.844,23.393,28.611,9.559,11.925,14.409,16.514,CNY,,,,,,
BANK OF HANGZHOU,1594.0,1585.0,2149.0,"['Financial Services', 'Banking Services']",237.0,207.0,284.0,7914.0,1996.0,,"Bank of Hangzhou Co., Ltd.",961.526,1088.395,1300.494,1517.965,6.602,7.136,9.261,11.679,1.19,1.17,1.43,1.83,21.402,24.638,29.148,32.571,221.859,244.656,379.952,398.339,1.807,-59.959,-102.957,-62.165,1024.07,1169.257,1390.565,1616.538,62.545,80.863,90.071,98.573,CNY,,,,,,
XINJIANG TIANSHAN CEMENT,995.0,5625.0,5568.0,"['Basic Materials', 'Cement', 'Construction Materials']",131.0,1000.0,,,1998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SICHUAN ROAD & BRIDGE,2128.0,3299.0,5583.0,"['Industries', 'Construction']",336.0,790.0,,,,,"Sichuan Road & Bridge Co.,Ltd",80.37,88.46,106.506,162.298,1.702,3.025,5.582,11.213,0.47,0.78,1.15,,52.725,61.07,85.049,135.151,48.937,58.093,69.884,92.772,-6.223,-5.27,-3.653,-7.844,97.615,113.224,137.038,208.299,17.245,24.764,30.532,46.001,CNY,,,,,,
"GUSHEN, INC.",,,,,,,,,,,Gushengtang Holdings Limited,2.072,2.579,0.842,0.891,-0.148,-0.256,-0.507,0.183,-0.641863,-1.110039,-4.38,0.8,0.896,0.925,1.372,1.625,-0.46,-0.874,1.616,1.774,-0.035,-0.117,-0.049,-0.178,1.102,1.445,2.392,2.614,-0.97,-1.133,1.549,1.722,CNY,,,,,,
COUNTRY GARDEN HOLDINGS COMPANY,991.0,858.0,419.0,"['Real Estate', 'Construction', 'Property Investments', 'Hotels', 'Construction']",130.0,84.0,49.0,101784.0,1992.0,,Country Garden Holdings Company Limited,1688.544,1758.806,1647.738,1434.894,39.55,35.022,26.797,-6.052,1.85,1.62,1.22,-0.26,485.908,462.856,523.064,430.371,405.27,405.346,437.64,381.222,-19.091,-5.917,-18.042,4.406,1907.152,2015.809,1948.365,1744.467,218.608,257.003,300.627,309.573,CNY,,,,,,
ZHUZHOU CRRC TIMES ELECTRIC,1615.0,2621.0,2899.0,"['Industries', 'Railway']",239.0,506.0,416.0,,2005.0,,"Zhuzhou CRRC Times Electric Co., Ltd.",10.789,9.606,10.858,13.214,2.659,2.475,2.018,2.556,2.26,2.11,1.63,,16.304,16.034,15.121,18.034,22.141,23.935,32.699,34.603,-1.475,-0.63,-6.014,-2.263,32.986,33.866,44.151,48.51,22.196,24.26,33.293,35.296,CNY,,,,,,
